Artifact,Type,Tool
romserver.exe,filename,LiteManager
romviewer.exe,filename,LiteManager
routernt.exe,filename,Sophos
royalserver.exe,filename,Royal Apps
royalts.exe,filename,Royal Apps
rpaccess.exe,filename,RemotePass
rpcld.exe,filename,Absolute
rpcnet.exe,filename,Absolute
rpcsuite.exe,filename,RemotePC
rport.exe,filename,RPort
rpwhostscr.exe,filename,RemotePass
rudesktop*.exe,filename,RuDesktop
rustdesk*.exe,filename,RustDesk
rustdesk.exe,filename,RustDesk
rutserv.exe,filename,Remote Utilities
rutview.exe,filename,Remote Utilities
rv.exe,filename,RemoteView
rvagent.exe,filename,RemoteView
rvagtray.exe,filename,RemoteView
rviewer.exe,filename,Comodo RMM
rxstartsupport.exe,filename,RemoteCall
saazapsc.exe,filename,ITSupport247
screenconnect*.exe,filename,ScreenConnect
screenconnect.clientservice.exe,filename,ScreenConnect
screenconnect.windowsclient.exe,filename,ScreenConnect
seetrolcenter.exe,filename,Seetrol
seetrolclient.exe,filename,Seetrol
seetrolmyservice.exe,filename,Seetrol
seetrolremote.exe,filename,Seetrol
seetrolsetting.exe,filename,Seetrol
servereye*.exe,filename,ServerEye
serverproxyservice.exe,filename,Laplink Everywhere
serviceconfig.xml,filename,SimpleHelp
showmypc*.exe,filename,ShowMyPC
showmypc.exe,filename,ShowMyPC
simplegatewayservice.exe,filename,SimpleHelp
simplehelpcustomer.exe,filename,SimpleHelp
simpleservice.exe,filename,SimpleHelp
smpcsetup.exe,filename,ShowMyPC
spsrv.exe,filename,Unknown
sragent.exe,filename,Splashtop Remote
srmanager.exe,filename,Splashtop Remote
srserver.exe,filename,Splashtop Remote
srservice.exe,filename,Splashtop Remote
strwinclt.exe,filename,Splashtop Remote
sunlogin*.exe,filename,SunLogin
superops.exe,filename,SuperOps
superopsticket.exe,filename,SuperOps
support-logmeinrescue*.exe,filename,LogMeIn Rescue
support-logmeinrescue.exe,filename,LogMeIn Rescue
supporttool.exe,filename,CrossTec Remote Control
supremo.exe,filename,Supremo
supremohelper.exe,filename,Supremo
supremoservice.exe,filename,Supremo
supremosystem.exe,filename,Supremo
syncrosetup.exe,filename,Atera
sysdiag.exe,filename,SpyAnywhere
tacticalrmm.exe,filename,Tactical RMM
tailscale-*.exe,filename,Tailscale
tailscale-ipn.exe,filename,Tailscale
tailscaled.exe,filename,Tailscale
tdp2tcp.exe,filename,rdp2tcp
teamviewer_desktop.exe,filename,TeamViewer
teamviewer_service.exe,filename,TeamViewer
teamviewerhost,filename,TeamViewer
termsrv.exe,filename,Microsoft TSC
tigervnc*.exe,filename,TigerVNC
todesk.exe,filename,ToDesk
tsircusr.exe,filename,Laplink Gold
turbomeeting.exe,filename,TurboMeeting
turbomeetingstarter.exe,filename,TurboMeeting
tvnserver.exe,filename,TightVNC
tvnviewer.exe,filename,TightVNC
ultimate_*.exe,filename,DeskDay
ultraviewer.exe,filename,UltraViewer
ultraviewer_desktop.exe,filename,UltraViewer
ultraviewer_service.exe,filename,UltraViewer
vncserver.exe,filename,VNC
vncserverui.exe,filename,VNC
vncviewer.exe,filename,VNC
webexpcnow.exe,filename,Pcnow
webrdp.exe,filename,WebRDP
weezo setup*.exe,filename,Weezo
weezo.exe,filename,Weezo
weezohttpd.exe,filename,Weezo
winagent.exe,filename,N-Able
winaw32.exe,filename,pcAnywhere
windowslauncher.exe,filename,SimpleHelp
winvnc*.exe,filename,VNC
winvnc.exe,filename,VNC
winvnc4.exe,filename,TigerVNC
winvncsc.exe,filename,VNC
winwvc.exe,filename,VNC
wisshell*.exe,filename,RES Automation Manager
wmc.exe,filename,RES Automation Manager
wmc_deployer.exe,filename,RES Automation Manager
wmcsvc.exe,filename,RES Automation Manager
wysebrowser.exe,filename,Pocket Controller
xcmd.exe,filename,PSEXEC
xcmdsvc.exe,filename,PSEXEC
xeox-agent_*.exe,filename,Xeox
xeox-agent_x64.exe,filename,Xeox
xeox-agent_x86.exe,filename,Xeox
xeox_service_windows.exe,filename,Xeox
za_connect.exe,filename,Zoho Assist
zabbix_agent*.exe,filename,Zabbix Agent
zaservice.exe,filename,Zoho Assist
zero-powershell.exe,filename,ZeroTier
zerotier*.exe,filename,ZeroTier
zerotier*.msi,filename,ZeroTier
zohotray.exe,filename,Zoho Assist
